,document_id,document_text,entity,gold_answer,pred_answer
0,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",PER,Доминик Рааб,Доминик Рааб
1,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",PER,Дэвид Дэвис,Дэвид Дэвис
2,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",PER,Тереза Мэй,Тереза Мэй
3,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",PER,Маргаритис Схинас,Маргаритис Схинас
4,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",PER,Елизавета II,Королева Великобритании Елизавета II
5,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",ORG,Пресс-служба британского правительства,
6,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",ORG,Консервативная партия,
7,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",ORG,Европейская комиссия,Европейская комиссия
9,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",ORG,Британское правительство,Правительство Великобритании
10,1024,"ru-1024
ru
2018-07-09
https://focus.ua/world/401437/
В Британии новый министр Brexit, Европа готова договариваться

Новым министром Великобритании по в ыходу страны из Европейского Союза назначен 44-летний Доминик Рааб. Об этом в понедельник, 9 июля, сообщает пресс-служба британского правительства. Рааб с января этого года занимал пост министра жилищного строительства, а до этого был министром юстиции. Он является членом правящей Консервативной партии. Напомним, Дэвид Дэвис ушел в отставку с поста министра по вопросам Brexit из-за несогласия с новой правительственной стратегией сотрудничества Великобритании с ЕС. Он считает, что Тереза ​​Мэй идет на значительные уступки Брюсселю. Европейская комиссия готова к дальнейшим переговорам с Великобританией, несмотря на смену министра по вопросам Brexit. Об этом заявил представитель Еврокомиссии Маргаритис Схинас на пресс-конференции в Брюсселе, передает ""Мы приветствуем, что в британском правительстве произошли глубокие дискуссии о будущем процесса Brexit, и мы конечно проанализируем новые предложения, как только они будут официально опубликованы. По поводу отставки Дэвида Дэвиса у нас нет специальных комментариев, мы продолжим переговоры с Терезой Мэй и британскими переговорщиками, чтобы достичь соглашения"", - сказал Схинас. Он также дал понять, что запланированные на следующей неделе переговоры представителей Лондона и Брюсселя по Brexit состоятся. ЧИТАЙТЕ ТАКЖЕ: Британия раскрыла свою версию таможенных отношений с ЕС после Brexit Напомним, королева Великобритании Елизавета II 

ФОКУС, 2008 – 2017. Все права на материалы, опубликованные на данном ресурсе, принадлежат ООО ""ФОКУС МЕДИА"". Какое-либо использование материалов без письменного разрешения ООО ""ФОКУС МЕДИА"" - запрещено. При использовании материалов с данного ресурса гиперссылка обязательна. www.focus.ua Данный ресурс — для пользователей возрастом от 18 лет и старше. Перепечатка, копирование или воспроизведение информации, содержащей ссылку на агентство ИнА ""Українські Новини"", в каком-либо виде строго запрещены. Все материалы, которые размещены на этом сайте со ссылкой на агентство ""Интерфакс-Украина"", не подлежат дальнейшему воспроизведению и/или распространению в любой форме, кроме как с письменного разрешения агентства. Материалы с плашками ""Р"", ""Новости партнеров"", ""Новости компаний"", ""Новости партий"", ""Инновации"", ""Позиция"", ""Спецпроект при поддержке"" публикуются на коммерческой основе.
",ORG,"ООО ""ФОКУС МЕДИА""",
